合宿先着いたー今朝あずきちゃん見たくなってきたって言ったけど、宿にまさかのあずきちゃんマンガあった！,,,,,,
やっぱり物事は自分らしくないとオリジナリティがでない‼ うん、,,,,,,
お昼ご飯は味噌ラージャン。美味しい！ (@ 中華そば 福や) [URL],,,,,,
吉祥寺のはらっぱどーなつ滅茶苦茶ウマイ。これ食べないと損する。マジで。,,,,,,
お初！ 森とミスド！ ブリオッシュ照り焼きチキンにゃう [URL],,,,,,
[USER] いいねー！一週間前に言ってくれれば調節できるからかなに任せるよ！,,,,,,
[USER] 楽しみにしてますヾ(・∀・)ﾉｼいつ帰っていらっしゃるんですかー？！  いやいやいや、でも美味しいものいっぱいありますもんね☆うらやまです！！,,,,,,
明日卒論提出とかしらないよ〜(ﾟoﾟ;;  今からとか無理！ つるおかは出しません。w,,,,,,
うわっ！久しぶりに見た(笑) 伊藤。広島エェな（ハァト）俺も一度は男ばかりで行きたいものだ！  馬場生きとんなぁ？,,,,,,
久々の一人喫茶。 チャイめちゃうまっ！！＠所沢cafe confot,,,,,,
マルチョンラーメンに初めて来た。 お腹一杯。[URL] [URL],,,,,,
[USER] 奢ってくださーい(*^▽^)/★*☆♪明日、明後日なら空いてまふ♪,,,,,,
ごめんなさい。ペアトリートメントは、水曜日と土曜の午後、日曜日のみになります。m(__)m,,,,,,
よしもと芸人プレゼンバトル!!第3弾のプレゼン芸人は､【アームストロング】と【Bコース】 #タカトシ大学   [URL]  違うかな^^;www,,,,,,
[USER] ありがとうございます。15pって本気のしゃぶしゃぶですね,,,,,,
[USER] 立ち寄ったファミマで一番くじのジョジョ5部がやってた事を伝えに行きたいよ。もう伝えてしまったけれど。,,,,,,
伊万里ちゃんぽんなぅ。量が半端なくてお腹一杯になりました。 [URL],,,,,,
今日はボーナスもらいました！でも、税金とか差し引かれるから、ビミョーな気持ちになるのは私だけ？でも、何はともあれボーナスは有難いです。,,,,,,
おちょぼ稲荷なう。 [URL] 　 35.263389,136.647071,,,,,
女「このハンバーガーまずいんだけど」 店員「返金します」 女「許さないわ！警察に通報してやる！」 → 女逮捕 [URL]  日本かとおもた,,,,,,
諸先輩の訓示を聞いて、また勉強になったってことで…(｀_´)ゞ,,,,,,
昨日は叙々苑(^^)飲み過ぎで二日酔い（泣）今から大森に行きます。電車だけど寝れる距離じゃないや。 [URL],,,,,,
証明書を確認しETC情報とひもづける仕組みも予算も無いんじゃない？,,,,,,
[USER] しゅーととまりちゃんが仲良しだから、ひがみだよ！！,,,,,,
京都から帰宅ー(^O^)／  明日は修了式だー＼(^o^)／  しかも下校するの10時半\(//∇//)\,,,,,,
今日もいい天気。人も車も一気に増えた。 (@ 廻り目平) [pic]: [URL],,,,,,
[USER] 朝マックにツナいいかもp(^_^)q  今週末早速行ってみよう。,,,,,,
私の16歳の妹が妊娠しました。彼氏は15歳。お姉ちゃんは不安です。,,,,,,
足攣って、激痛、みたら肉があり得ん形になって痙攣しててあと少しで肉離れ寸前。危なかった…。ちなみに治まる間ムービー撮ってた。,,,,,,
[USER] 私も最近ゲームしてたりすると、急に電源落ちたり…。ウィルス感染とかかなぁー。と思って、明日Apple行くよぉ(T_T),,,,,,
メイクの過程を見せるのは、すっぴん見られる以上に恥ずかしいと思うんだけどな…粉飛ばされるのも周りの人迷惑してると思うんだけどな…それをいい歳したオバチャンがやっちゃうことほどみっともないことってない,,,,,,
明けましておめでとう(*^_^*). Happy Chinese new year(o^^o),,,,,,
元気になるといいのだけれども。  @ 工房 横井珈琲 [URL],,,,,,
これからカウントダウン！皆さん、よいお年をお迎えくださいw (@ 横浜アリーナ w/ 9 others) [pic]: [URL],,,,,,
今日こそはパソコンと同期してみせる（＾＿＾）☆ がんばるよーっ！！,,,,,,
Hootsuite結構いいかも。facebookとか他のも使える,,,,,,
おれもおれもRT [USER] 夢の泉（ＦＣ）#私が初めて出会ったカービィ,,,,,,
[USER] iPhone2使用料無料 ♪（ｖ＾＿＾）ｖ。グヘッ。,,,,,,
朝飯。 (@ Starbucks Coffee 吉祥寺駅前店) [URL],,,,,,
オレンジと牛乳系コーヒーって、意外とありなんだねえ(⌒‐⌒) [URL],,,,,,
本日、ULTRA SPEED購入！ 以前にWiMAX試してみたけど、あまりにも電波が悪かったから。 今のところ電波良し☆ [URL],,,,,,
[USER] お！俺のチンをチンする時がきたか！ちょっといってくるわ！,,,,,,
金曜日休んだせいで、今日は仕事が盛り沢山。忙しいのは有難いけど、度が過ぎるのもどうかと…,,,,,,
乗り換え。実は巣鴨でも乗り換えてた (@ 高田馬場駅 (Takadanobaba Sta.) w/ 2 others) [URL],,,,,,
なにやら外が騒がしかったので 窓から下を覗いたら 山形屋さんの駐車場待ちの 車でいっぱいだー！！ 警備員さんも大変だなぁ(^^;; [URL],,,,,,
まさかの大人になっての水疱瘡診断orz 薬たけぇー ！！ さすが出雲大社参拝効果あり！？ ご縁きました(T_T),,,,,,
キングカズかっこいいな。それでいてトシちゃん好きなとこがまたある意味かっこいいな,,,,,,
[USER] ゆきさんのほうが綺麗っすよー(´▽｀)ノ笑 しかし似てますな。笑,,,,,,
[USER] お疲れ。今日は寒い(>_<)カロリー消費のため今日も引き続き汗を流します！,,,,,,
夜寝れなくて飲み屋へ。。ウィスキーおいしい(^-^)/ [URL],,,,,,
[USER] リョヲさんは？ひょんしく(*^^*) [URL],,,,,,
[USER] 今日はお疲れ様でした( ´ ▽ ` )ﾉ今回は、あんま、ゆっくり話せんかったけど、また横浜で会えるね～(＾ｰ^)ノ とっても楽しかった！！,,,,,,
[USER] 確かに（笑）    あのノリにのっかっろうと頑張るとドッと疲れますよ(~_~;),,,,,,
防水カバーが届いたわ～ でも、ちょっとスキマあいとる(^_^;) [URL],,,,,,
プロジェクトFukushima! @ 四季の里にタッチ！ [URL],,,,,,
47NEWS ＞ 共同ニュース ＞ ２日から３日にかけ大雪警戒 列島「冬の嵐」に京都市内は、まったく雪の気配ないです#kyoto #taxi #sougofollow #demachi [URL] [URL],,,,,,
ようやくここまで。あしがら湯には入らず現地へ向かいます (@ 足柄SA) [URL],,,,,,
[USER] [USER] は？えらくボロクソ言うてくれるやないか岡崎、引き際ぐらいわかるやろks。ちなみに俺終わりましたけど何か？,,,,,,
[USER] SIMのライブは圧巻ですよ！ コールドレインはかっこいい！ 是非CROSSFAITH、HEY-SMITHも聞いてみてください(^O^)／,,,,,,
[USER] 1350 1410 1430 1450 1510 1530って書いた紙が目の前に貼ってあった。これなかったら元々歩いていく予定でいた。,,,,,,
[USER] そんなに都会なところが通学路だなんてうらやましいですね～。 #kanazawa,,,,,,
後ろから胸を鷲掴みにして、もみし抱いた♥　彼女の舌が、俺をせがんだ…,,,,,,
店内にドナルド来てるー。 (@ マクドナルド葛西店) [URL],,,,,,
さ、東京湾に戻るよ。雨降ってきたし。 つか、この時間って混んでないかな…,,,,,,
軽井沢は、小雨だけど賑わってます(^◇^;)アート縁日なう〜ガラスアートさん素敵！ [URL],,,,,,
年々結婚式っていいなーと思えてくる。。よし、二次会は木更津ってマジか。。綾小路っぽい人が誘ってる、、 [URL],,,,,,
[USER] ドロイドじゃないってレアですね。安いし面白そう。,,,,,,
ミスター美少女の化粧わず、緊張する…私が出るワケじゃないのに（笑）,,,,,,
家具調査。 (@ IKEA 港北店 w/ 19 others) [URL],,,,,,
１人BBQ中。不覚にも酒のつまみを買い忘れた(T_T)長い夜になりそうだぜ。 [URL],,,,,,
一ヶ月ぶりに日本に帰ってきて、仙台は本当に美しい街だなー、と改めて思った。ここに故郷として帰ることができて嬉しい。仙台が大好きだ！,,,,,,
年末になって、風邪をひいたみたい (T . T) 体がいまいち、ピリッとしない・・・。 きつい。頭も痛い。まいったなぁ。 来年は、健康に気をつけよう♪,,,,,,
appleに連れて行ってもらって iPhone新品に交換っ(^o^)！ 電池交換せずに済んで、嬉しい☆☆,,,,,,
飲み会なので泊まりです。 @ アパホテル<名古屋錦>にタッチ！ [URL],,,,,,
新年早々、地震…(~_~;)結構大きかった(-｡-;皆、大丈夫（;￣O￣）⁇,,,,,,
気づいたら置く場所間違えてた (@ みよしの 環状光星店) [URL],,,,,,
[USER] フォローありがとうヽ(；▽；)ノ麻雀するんだぁ！何歳？,,,,,,
[USER] はい！わたしも受けたぁ(・д・)ノ接種後のほうが 痛かったなぁ。,,,,,,
京都なう 技術フォーラムが、やっと終わる ちゃっちゃと、帰ろう,,,,,,
高到一個不行！  @ 都営バス 浅草雷門 バス停 [雷門通り 2,3,4,5] [URL],,,
ソフトバンクホークス優勝☆*:.｡. o(≧▽≦)o .｡.:*☆ [URL],,,,,,
またまた新しくしちゃった。病みツイートはもうしないと決めた20歳の春休み(´･_･`)笑,,,,,,
部屋から  @ パンパシフィック横浜ベイホテル東急 [URL],,,,,,
XBクリエイティブ・ランチ  島のオンライン化事例について話す。  スタッフ深田 [URL],,,,,,
"ちーん、だがビックリ!!""[USER] ネタGet！ [URL]",,,,,,
[USER] そんなこといったってしょうがないじゃないかぁ。。。,,,,,,
ガキの頃から新幹線が好き。 好きというか憧れだった。 飛行機も良いけど、 やっぱ新幹線がいいなぁ。,,,,,,
今から栄（名古屋）→名駅を抜けて帰宅します。  V8 4.2Lエンジンが、ブンブン( ´ ▽ ` )ﾉ  早く帰って、わが子をハグしないと☆  エンジン ブンブン( ´ ▽ ` )ﾉ  でも、安全運転。  お先にどうぞの精神ねっ！ [URL],,,,,,
日の丸ステルス機キタ！ 光学ステルスだね[USER] [URL],,,,,,
お祝い事が続いて心が豊かになる( ´ ▽ ` )ﾉ関わりのある人達が幸せだと嬉しくて、おこがましくも少しでも役にたてたらなんて思ってしまう。思いのままにすることが、自分にも相手にもいいことなら理想的だな～,,,,,,
[USER] きたねー(´Д` )そんなこともするんだね(´Д` ),,,,,,
ただいま！クリスマスやけどディナーは何気に人生初ひつまぶし☺美味しかったよ！ [URL],,,,,,
ガンダムに日本人形ってさすが我がファンキーファザーだぜ… [URL],,,,,,
那須高原ＳＡ  γ1m 384cp3m＝0.383マイクロシーべルト／時,,,,,,
今日チャリ乗らないともうこの合宿でゎ乗らない気がする。どうしよ。でも走りたくないっていう本音。,,,,,,
みんなでオール(((o(*ﾟ▽ﾟ*)o)))眠れないよ～(-｡-;,,,,,,
無線部顧問の先生にプロ用CWのカセットをいただきました。データ化しよう。,,,,,,
間もなく始まるようです！何処かで見た顔ぶれが…(⌒-⌒; ) #MagicHour [URL],,,,,,
天丼運んできたおばちゃんに何でこんなにかかるの？ってキレたら「揚げたてを出すため」だって。てんぷら揚げるのに40分もかかるわけ！？おばちゃん、絶対認めなかったけどオーダー通し忘れだろ。,,,,,,
長野の旅終わり～ さぁ名古屋まで帰るか…　 帰りたくない～～～～～！！！,,,,,,
[USER] まさかのココアのくどさ。濃いのかなぁ、甘くない。,,,,,,
事業躍進の裏には、必ず革新が在る。革新無ければ躍進は無い！探せ！探せ！昨日に生きて居る者に躍進は無いぜ！,,,,,,
[USER] どぅんていつの間にか髪型変わってたんだねo(^▽^)o刈り上げてもカッコいい\(//∇//) 行った人がうらやましいね♪西日本でも何かやって欲しいもんだ... [URL],,,,,,
RPGあるある プレイ時間を全てレベル上げに費やす「レベル上げデー」がある,,,,,,
無印デジモンの石田ヤマトくんとスナフキンふ#初代嫁を晒すとオタク歴がだいたい分かる,,,,,,
皆様、始めまして！今回、京都の高野イズミヤ前に、お洒落なサイクリンショップが、出来ました！色々と不慣れですが？全力で、貴殿のサイクリングライフを、また、ママチャリライフを支えて行きたいです！宜しくお願いします！ [URL],,,,,,
ハローハロー！ (@ 羽田空港 第1旅客ターミナル (HND/RJTT) w/ 19 others) [URL],,,,,,
日が完全に落ちました。さっきまでとは格段に走り易くなってきましたぞよ。,,,,,,
[USER] GLにも行きたいんですが、一人目の京都のお店、行ってみたいと思います、ﾆﾝﾆﾝ！,,,,,,
やばい。  リアルに宇宙人が地球に近づいてるらしい。  2012年12月にくるんだってさ。  信じるか信じないかはあなた次第。,,,,,,
そうそう今日武士ダーツで新垣選手にあった。     パーフェクト6位の人,,,,,,
TBS朝ズバの取材が終えました！！明日12/5の朝7時半から8時10分ぐらいからの放送だそうです！お時間がありましたらご覧ください♪また皆様の拡散のご協力をいただけたら幸いです。,,,,,,
[USER] [USER] 自分では選ばなかったけど、自分で焼くタイプのとこだよ！「かなや」ってとこ！毎度うまい。よっちゃん、ドライブにオススメだよ〜♡,,,,,,
ハイソな自転車乗りのホームグラウンドと聞く多摩川なう！ [URL],,,,,,
御池。なんかやってるけど暑い。平均年齢高い。リオのカーニバルみたいなお姉ちゃん皆無。お腹すいた。松ちゃんからもろたメーター自転車に設置するも失敗。再チャレンジしよー。,,,,,,
[USER] サンキュー(^-^)/ 最近はFacebookの方が面白くてババちんも社会人なったら、こっちが楽しいかも〜 一緒にやんない？,,,,,,
今、マックの携帯クーポンで、ダブルチーズバーガーが150円なんですよ〜(＾ｰ^)ノ,,,,,,
今日はウルトラマンレオショー。怪獣が怖すぎて息子リタイア。 (@ ウルトラマン シュワッチベース) [pic]: [URL],,,,,,
2番でオムライス作ったら美味しいって食べてくれはった(^ ^)ただ、600gのご飯を炒めるのは大変やったわ（笑）,,,,,,
人間椅子、気になってます。“[USER] 鈴木研一(人間椅子)　#このベーシストが好きな人がRTしてくれる”,,,,,,
[USER] 飲みたーい♪また会いたい(((o(*ﾟ▽ﾟ*)o))),,,,,,
[USER] 遅くなりましたけど 、。   春兄、誕生日おめでとうございます (̿▀̿ ̿Ĺ̯̿̿▀̿ ̿)̄☝,,,,,,
[USER] でも荒木飛呂彦の絵とあっててオシャレだったよ。ストーリーよりも絵をみて楽しむものなんだろね。,,,,,,
今日は 仕事が休み。 沖縄は 午後から雨の予報です 夜は早くも忘年会 雨だと行くのイヤだなぁ！  早くも不気味な空模様  [URL],,,,,,
毎日7時半から21時過ぎまで仕事してなんかいいことあるんだろーか。。彼氏ができないのは、そのせいだ、うん、たぶん＿|￣|○,,,,,,
こう見ると、自分が生まれる前のヒーローものみたいだ。だが、最新のヒーローなんだって  @ イオンモール日の出 [URL],,,,,,
やばい…乗ったバス 行き先は合ってるけど、ぐるっと周るやつだった(￣◇￣;) すみません、たぶん遅刻します(｀_´)ゞ,,,,,,
今日はこんな綺麗なグランドで  @ 横浜市立大グランド [URL],,,,,,
来てきて(^^) 可愛いのめっちゃあるから＊ ビュンビュン RT[USER],,,,,,
久しぶりの丸一日休みは引きこもりで終了ヾ(＠⌒ー⌒＠)ノたまには楽な日もいいもんです。,,,,,,
立体駐車場、ババ込み…警備員のおっさん、もうちょい早く言ってくれや！ ほんま、何分かかんねん(ｰｰ;),,,,,,
モノレールで隣の女の人、さっきからオロナミンC飲んでんねんけど。くさーい。,,,,,,
今、実家でマッタリ中(^-^) 寝れてないから、軽く寝る(￣ｑ￣)ｚｚｚ,,,,,,
ごめんなさい。先週乗った場所がわからん？？ おじさん記憶力よえー,,,,,,
自分の中でちゃんと方針決められないから全部中途半端。最悪。問題が山積みすぎて吐き気する。お金と時間さえあればきっと解決できるんだけどな。…全部は無理か。…人間怖いよ。,,,,,,
デート中！新町で久々ブラブラ！時間潰すとこな～い 観光客はどこで潰すんだろう？,,,,,,
結婚式の二次会で久々に前の学校の先生と会った。楽しかったなあ(o^^o),,,,,,
あめ子のジオタグ設定いまいち分からないというか何故か二つ出るときがある様な…,,,,,,
[USER] 予約した福袋が買えたのと、深緑の財布買っちゃったぁˉ̞̭⋆›◡ु‹⋆˄̻ ̊,,,,,,
何故か微妙に筋肉痛^^;昨日のヨガでかな？（^人^）久々になったな〜,,,,,,
ふじやまビールなう。いつも、ここの地ビールは飲みすぎてしまう。。。もう五回目なのに！,,,,,,
クラシックコンサートを聞きにきた (@ 昭和女子大学 人見記念講堂) [URL],,,,,,
やけどもいよいよ最終ステージに。皮がむけて、新しい皮膚が出てきたよ（´-`）,,,,,,
foursquareが流行らんのは呼びにくいからじゃないか？wいや、実際重要やと思う。,,,,,,
親父が食うガムの音ってダメ もっと綺麗に噛んでちょーだい  睨むわけじゃないけど 見ちゃう 気になっちゃう イラついちゃう けど近寄りたくなっちゃう。,,,,,,
さぁー食うぞー！ (at 鬼が島本舗 めんちゃんこ亭 中里店) — [URL],,,,,,
北新地でお昼なう♪( ´▽｀) お誕生会♪( ´▽｀) [URL],,,,,,
痛恨の一撃！交通整理野郎は携帯を砂利に落とした！交通整理野郎は死んだ、世界樹の葉は持っていなかった＿|￣|○,,,,,,
昨日は『なまいき』にて、ブラスの先輩＆同級生で飲み 俺を酒呑みにした諸先輩方の一人、愛◯先輩が相変わらずの酒豪でひと安心また飲もうね,,,,,,
あー、試合的には、「大宮相手にあんな腰の引けたサッカーしなきゃならんようだと、今後は辛いな」という感じ。1-1になって大宮ガックリ来てるときに畳み掛けたかった。しかし今の山形サッカーのどのあたりまでが監督の狙い通りなのか、心底気になる。俺が選手を買い被りすぎなのかな。,,,,,,
おっ池之端からもスカイツリー見える。花火ここから見えたのかなー [URL],,,,,,
今、御殿場市に向かってます。仕事関係の屋外パーティーによばれてます。行って来ましす。,,,,,,
本日の京都は雨…それでも観光シーズン。人が多いですね(-｡-;  @ 哲学の道 [URL],,,,,,
勝つ可能性は充分あると思ってたけど、やっぱりすごいね。しばらくいろんな会社の社長や管理職が朝礼や会議なんかで『なでしこを見習え』とか言うんだろうなあ。わかってますって,,,,,,
久しぶりにナイター行ったらパウダーでした！！ありがと～ございます。明日から二連休。雪ヤバそうなので、仲間達と一緒に雪と戯れます！！  @ ニセコグランヒラフ [URL],,,,,,
久しぶりにこんな時間に帰宅！ お風呂めんどくさい(｡-_-｡),,,,,,
今日は久々にアイオンにインしたぜぇやっぱゲームは疲れるね（;￣O￣）,,,,,,
[USER] ありがとうございます(>_<)  今は落ち着きました(T_T),,,,,,
[USER] がんばれー！ 俺も今明日の試験の勉強中。 お互い頑張ろうぞ,,,,,,
馬鹿職員仕事できひんのに文句だけは１人前！馬鹿に管理職させるのは刃物の扱いに慣れてない子供と同じ！責任感もてよ。,,,,,,
11人もいる！、面白かった。私のツイート、テレビの話ばっか(>_<)なう。,,,,,,
今日は麦わら細工の会の例会でした♪麦畑の土寄せと柵作りを行い、一汗。 [URL],,,,,,
ん？彼氏から会いたいってメールきてた（´-`）仕事で何かあったんかな？,,,,,,
また、お肉を買ってしまった。 鶏の半身揚げ。今年、何羽の 鳥を食べたんだろ～。 [URL],,,,,,
11時の回転に並んで池袋の宮城ふるさとプラザの伊達の牛たん本舗で通定食840円。肉が思ったより多くて満腹満足。 [URL],,,,,,
秋田北空港きたー。2時間ばかり飛ばしたところで花火があるらしい。,,,,,,
これから奨学金の面接なんだ、ますます緊張してきた(´Д｀) 奨学金をくれー！,,,,,,
部活疲れた（笑） 皆もいろいろ頑張ろうね(^-^)/  ゆきりん可愛い‼,,,,,,
昨夜もお世話になりましたm(_ _)m  おかげさまで助かりました superウコン様♪,,,,,,
今年、1番の寒さ(~_~;) バリさむ。・°°・(＞_＜)・°°・。マイホームなう〜,,,,,,
あちーよ。 クールザヒートはデジカメで撮れないのが残念。 防水デジカメにすりゃよかったとおもう。 @ シンデレラ城にタッチ！ [URL],,,,,,
今日は美智子がサプライズでどっかに連れてってくれるらしい！！どこじゃー！???,,,,,,
二日酔いから大体復活した。24時にクロスフェード動画上げようと思います(^^*),,,,,,
納会長過ぎヽ(￣д￣;)ノ=3=3=3  そして部長は話がつまらなくて やたらと長い…,,,,,,
生ハムとトリュフのパニーニはよもってきて♪ カカオサンパカ青山♪ [URL],,,,,,
車の燃費が、あまりにも悪いので自転車で代替出来る部分がどれくらいあるか、検討を始める。1月100Lの消費量を4割削減出来そうだ。,,,,,,
勉強をしている高2の姉。『集中できないからメールの返事うっといて』まさか妹が打ってるとはとは思わないだろうメール相手。,,,,,,
さ、寒い(´Д` ) (@ 佐野市駅 (Sanoshi Sta.)) [URL],,,,,,
旅立ちですな。やっぱ、行って良かったわ。ほとんど話せてないけどな(~_~;)口下手最低(笑),,,,,,
遠野の縁結びの神様のところ(笑)トイレ借りただけ〜 【岩手県遠野市下組町】 [URL],,,,,,
はしゃぐ女に撮られる男  @ NIX-JAM Y*store [URL],,,,,,
[USER] そうか、ありがとう！( ´ ▽ ` )ﾉ あるいて神大まで来たことある？,,,,,,
[USER] 意地悪な人ってほんとどこにでもいますね。お家に帰ったら そんな日こそグンちゃん見て癒されましょ〜。・°°・(＞_＜)・°°・。,,,,,,
いやね、友人と明日のことについて電話してたらさ、ゴキブリ出てきてさ、明日のことについての談義ではなく、ただのゴキブリ退治実況音声になってしまったわけさ。,,,,,,
君の好きなうた/UVERworld [URL] #utanet まじヤバイわ。きゅーん。,,,,,,
大戸屋で夕飯(￣▽￣) (@ イオン与野ショッピングセンター) [URL],,,,,,
こんばんは(^^)今日も学生さん、ママさんありがとうございました！びはんさんも本当にありがとうございました★みなさん笑顔で楽しんでおりました！今日も寒いです。風邪には気をつけて下さい( *｀ω´) 明日は宮古市のグリーンピア三陸みやこに行きます！晴れてくれ～ #笑顔プロジェクト,,,,,,
"頼んだんです！と怒っています!! ""[USER] [USER] ふみちゃん、美容師にいじめられてない？ QT: 事件です!!!前髪が(￣□￣;)!! [URL]",,,,,,
あうぅ、もう声出ねぇ…昨夜飲み過ぎた……珈琲を……。さて、もう次の法事が……明日は朝から新宮霊園って…。メーデーに参加すっぞ(ﾟДﾟ)ｺﾞﾙｧ!!,,,,,,
製作した汲み取り不要バクテリア分解するバイオwcが柿崎町の総合運動公園に設置されました [URL],,,,,,
台風ですが８時開店♪地デジ化前のてんてこまい (@ 井之上電器) [URL],,,,,,
今週２回目のラシック。袴を来た軍団女子がっっ。卒業式おもしだすー。,,,,,,
生きてたあああああ！！  ずいぶんとたくましくなってるwwwww [URL],,,,,,
感動！死ぬまでに一度は見ておきたい花火、マジで感動でした。何か、根本的に、違う花火。一つの花火で、時差でグルグルする花火もありました。10号花火もデカイ。 [URL],,,,,,
EXILEライブの為にナゴヤドームにいるけど、今日は昨日と違い外は寒い(＞人＜;)  けど、ライブ始まれば暑くなるかっ！！,,,,,,
♪ Come on you - SINGER SONGER ♪ #nowplaying via Teewee  三田牛ローストビーフゲト！久々キッズ仲間楽しかった。,,,,,,
日暮里で乗り換える人多いね。 でも、山手線はあんまり混んでない。 京浜東北線もあんまり混んでないみたいだから、どっち選んでも一緒かな？,,,,,,
[USER] 彼みちゃった❤  いちぜんの電話番号わかる？？いま土間きちゃった(>_<),,,,,,
iPhoneからのツイッター クライアントが朝から動かない件。,,,,,,
バイトもう一つ増やす事になった。うん。生きるってお金が必要…。,,,,,,
GREE アバター 星の竜神輝く天使の輪ぷよぷよパンダ他５点セット [URL],,,,,,
特急で帰ります。友人の着物は、成人式の着物のリメイク。髪もかわいかった♡  @ 西武秩父駅 [URL],,,,,,
つまんない。あたしってほんとに友達居ないな（笑）GWだってのに、暇ばっかり、、、バイトもいーのみつかんないし。あー。辛い。,,,,,,
[USER] [USER] 優も23日参加する～(*^^*)楽しみっ♪,,,,,,
結局監督の挨拶が聞きたくて、観てました…ナゴドで最後勝てて良かった！吉見も勝ちがついて良かったね～。,,,,,,
おはようございます。電車すいてる。座れました。 (@ 和光市駅) [URL],,,,,,
清次郎なう♪ 旦那さんが焼き肉食べてくるので、私は子供とお寿司♡ 個室もあっていい雰囲気です(*☻-☻*) [URL],,,,,,
良いお天気なのに、家の鍵がない(ﾉД`)お散歩にも行けないでわないか… [URL],,,,,,
花粉症の薬を貰いにきただけのつもりが瞼の裏に脂肪の固まりができてて麻酔してとってもらった。麻酔で目に違和感があるよ @ 遠藤眼科にタッチ！ [URL],,,,,,
東海市加木屋町なう。  ガストがステーキガストに変わりましたよ。  いま流行りですね。  #tokaicity [URL],,,,,,
朝9:30。乗車まで待てませんでした。  @ 新大阪駅 (Shin Osaka Sta.) [URL],,,,,,
なんなんだ⁈あの人形…わたしのこと馬鹿にしてんの⁈しあわせのおすそ分けなんていらないんだけど…（´-`）.｡oO超むかついた… イライラ…,,,,,,
[USER] 奮闘中なのが伝わってきます。待ち遠しい、がんばって！,,,,,,
[USER] こんにちは、琴似のらっきょでスープ担当してて、独立です＠綱島ハンジロー,,,,,,
さて出掛けるか (@ 羽田空港 第2ターミナル (HND/RJTT) w/ 18 others) [URL],,,,,,
[USER] ばぁちゃん嘘つかない！っていいますからぁー。おばあちやんの知恵袋（笑） まじめに、私 目に悪いことしてますけどブルーベリーは人よりよーさん食べてると自負しております。 効いてるかはわかりませんがぁーヽ(￣д￣;)ノ=3=3=3,,,,,,
[USER] こんばんは(^-^)/和弥さんは水中ウオーキング1,2キロどの位で歩いてますか？私は何キロ歩いてるか途中で分からなくなりました(Ｔ＿Ｔ)参考に教えて下さい o(^▽^)o 12,,,,,
[USER] AMOちゃんが使ってるカラコンのサイト教えて欲しいです！,,,,,,
[USER] 採用された～(((o(*ﾟ▽ﾟ*)o)))♡憧れの結婚式場♡→ウェディングスタッフしてるん？いきな、バイトだね。,,,,,,
[USER] 年明け早々、大丈夫ですか？今日は特に冷えるので、あったかくしてくださいね～。お大事に(^-^),,,,,,
[USER] 今、薬待ちデス(>_<)インフルじゃなかったので、ダッシュで帰りますょー！マスクが神です♪( ´▽｀),,,,,,
楽しかったー！明日からバレンタインの催事がんばろ(T_T)いっこに依存するのは、そろそろ卒業しないと！,,,,,,
プチ贅沢(#^.^#)  @ マクドナルド 下川井インター店 [URL],,,,,,
[USER] う〜ん。そこは、地球じゃないぁもしれない。(￣^￣),,,,,,
今日はともくんの誕生日☆　ともくんリクエストの焼き肉きてます(^O^) (@ ソウル) [pic]: [URL],,,,,,
おいらはドラマー♬ ヤクザな〜ドラマー♬ おいらが叩けば嵐を呼ぶぜえ〜♬,,,,,,
すんごい寝てた…10時間ぐらい…ACVしたかった、チムメンごめんよ,,,,,,
新しいことを取り入れる行政には期待しちゃうね。そのような取り組みをする地方が増えれば全国的に活性化するんじゃないか。記事にもあったけどSNSを使う事で市民と役所双方のコミュニケーションがとりやすくなるし地方の良い物をコストかけずに全国にアピールできる。,,,,,,
[USER] 好きな人を諦めるということは、 好きな人に自分を好きになって もらうことより、難しい。 そーかもねー どっちもむずいよ!!,,,,,,
hub新宿で友達とレイソルvsアルサッドなう。でも決勝の時間には放り出される… 35.693536,139.702656 [URL],,,,,
ポッコ コリアンランチ＆カフェ 今日はまたずにスルッと入れた～。んで、スンドゥブも すぐ出て来たし～ ( ๑･ิټ･ิ๑)  あー美味しかった。気合入れて仕事でも行くかー‼ [URL] #30min,,,,,,
帰ってこれなぃかと思ったぁ… はぁ♡  でも無事帰国しましたぁ♡ 14時間の飛行機おつきゃり様♡  みんなただぃまぁ♡  [URL],,,,,,
"雑誌に掲載されるのでしょうか？ ""[USER] 今から砂田監督と対談？です。""",,,,,,
今日は森戸海岸で葉山牛バーベキューでした。　　帰りに立ちのみ寿司屋でした,,,,,,
もう12月かあ・・・ ヽ(´o｀；早いなー((((；ﾟДﾟ))))))),,,,,,
"パフォーマンス集団 『LOW-YOU""ZERO""』 市内某所で初ライブ。 [URL]",,,,,,
[USER] アァ(~_~;)まだなれていないのでー（；￣ェ￣）本当にすみません(^^;;,,,,,,
[USER] うんうん、わかります。私も休みが無いと暴れたくなります(T ^ T)   がんばれ～,,,,,,
見ただけで十分  @ 成田山 新勝寺 (Naritasan Shinshoji Temple) [URL],,,,,,
エリアでフットサルなうσ(・ω・*) なんか腹でてる監督がエバってますわ！ [URL],,,,,,
[USER] 多摩クラフト展いってきたよ〜[URL] 元気もらってきた。風車げと [URL],,,,,,
ほうじ茶ソフトなう @ お茶 甘味処 森乃園茶房に画像つきタッチ！ [URL],,,,,,
今からホワイエ打ち合わせ。その前にランチ [URL] [URL],,,,,,
